Marque,Modèle,Type de Carburant,Puissance Fiscale (CV),Puissance Moteur,Transmission,Consommation Urbaine (L/100 km),Consommation Autoroute (L/100 km),Consommation Mixte (L/100 km),Emissions CO2 (g/km),Catégorie de Véhicule,Cylindrée (L),Cylindres,masse orde marche min,masse orde marche max
AUDI,A4 1.8T (150ch) MULTITRONIC,ES,9,110.0,V 0,11.4,6.5,8.3,199.0,,,,,
AUDI,A4 1.8T (150ch) QUATTRO,ES,10,110.0,M 5,12.5,7.2,9.2,221.0,,,,,
AUDI,A4 1.8T (150ch) QUATTRO,ES,10,110.0,M 5,12.6,7.3,9.3,223.0,,,,,
AUDI,A4 1.8T (163ch),ES,10,120.0,V 0,11.4,6.5,8.3,199.0,,,,,
AUDI,A4 2.5TDI (163ch),ES,10,120.0,V 0,11.3,6.4,8.2,197.0,,,,,
AUDI,A4 CABRIOLET 1.8T (150ch),ES,10,110.0,V 0,11.6,6.7,8.5,204.0,,,,,
AUDI,A4 CABRIOLET 1.8T (163ch),ES,10,120.0,V 0,11.6,6.7,8.5,204.0,,,,,
AUDI,A4 1.8T (163ch),ES,11,120.0,V 0,13.5,6.9,9.3,223.0,,,,,
AUDI,A4 2.4L,ES,11,125.0,V 0,13.5,6.9,9.3,223.0,,,,,
AUDI,A4 2.5TDI (163ch),ES,11,120.0,V 0,13.5,6.9,9.3,223.0,,,,,
AUDI,A4 2.5TDI (180ch),ES,11,125.0,V 0,13.5,6.9,9.3,223.0,,,,,
AUDI,A4 CABRIOLET 1.8T (163ch),ES,11,120.0,V 0,13.6,7.4,9.6,229.0,,,,,
AUDI,A4 CABRIOLET 2.4L,ES,11,125.0,V 0,13.6,7.4,9.6,229.0,,,,,
AUDI,A4 3.0L,ES,14,162.0,V 0,13.6,7.0,9.4,226.0,,,,,
AUDI,A4 3.0L (220ch),ES,14,162.0,M 5,13.8,7.2,9.6,230.0,,,,,
AUDI,A4 3.0L (220ch) MULTITRONIC,ES,14,162.0,V 0,13.6,7.0,9.4,226.0,,,,,
AUDI,A4 3.0L (220ch) MULTITRONIC,ES,14,162.0,V 0,13.7,7.1,9.5,228.0,,,,,
AUDI,A4 3.0L (220ch) QUATTRO,ES,15,162.0,M 5,15.0,8.1,10.6,254.0,,,,,
AUDI,A4 3.0L (220ch) QUATTRO TIPTRONIC,ES,15,162.0,A 5,16.0,7.8,10.8,259.0,,,,,
AUDI,A4 3.0L (220ch) QUATTRO TIPTRONIC,ES,15,162.0,A 5,16.1,7.9,10.9,262.0,,,,,
AUDI,A4 CABRIOLET 3.0L,ES,15,162.0,V 0,13.8,7.3,9.7,233.0,,,,,
AUDI,A4 1.9TDI (100ch),GO,6,74.0,M 5,7.0,4.5,5.4,146.0,,,,,
AUDI,A4 1.9TDI (101ch),GO,6,74.0,M 5,7.0,4.5,5.4,146.0,,,,,
AUDI,A4 1.9TDI (101ch),GO,6,74.0,M 5,7.1,4.6,5.5,149.0,,,,,
AUDI,A4 1.9TDI (130ch),GO,7,96.0,M 5,7.5,4.5,5.6,151.0,,,,,
AUDI,A4 1.9TDI (130ch),GO,7,96.0,V 0,7.4,4.6,5.5,149.0,,,,,
AUDI,A4 1.9TDI (130ch),GO,7,96.0,M 5,7.5,4.5,5.6,151.0,,,,,
AUDI,A4 2.5TDI (155ch) BV6,GO,9,114.0,M 6,9.7,5.3,6.8,184.0,,,,,
AUDI,A4 2.5TDI (155ch),GO,10,114.0,V 0,9.3,5.7,7.0,189.0,,,,,
AUDI,A4 2.5TDI (155ch) BV6,GO,10,114.0,M 6,9.8,5.4,7.0,189.0,,,,,
AUDI,A4 2.5TDI (180ch) QUATTRO BV6,GO,11,132.0,M 6,11.1,5.9,7.8,211.0,,,,,
AUDI,A4 2.5TDI (180ch) QUATTRO BV6,GO,11,132.0,M 6,11.2,6.0,7.9,213.0,,,,,
AUDI,A4 2.5TDI (180ch),GO,12,132.0,A 5,12.5,6.3,8.5,230.0,,,,,
AUDI,A4 2.5TDI (180ch),GO,12,132.0,A 5,12.5,6.3,8.5,230.0,,,,,
AUDI,A6 2.0L,ES,8,96.0,V 0,11.3,6.7,8.3,199.0,,,,,
AUDI,A6 2.0L,ES,9,96.0,M 5,11.9,6.5,8.4,202.0,,,,,
AUDI,A6 1.8T (150ch),ES,10,110.0,M 5,11.5,6.7,8.5,204.0,,,,,
AUDI,A6 1.8T (150ch),ES,10,110.0,M 5,11.5,6.7,8.5,204.0,,,,,
AUDI,A6 1.8T (150ch) MULTITRONIC,ES,10,110.0,V 0,11.7,6.7,8.5,204.0,,,,,
AUDI,A6 1.8T (150ch) MULTITRONIC,ES,10,110.0,V 0,11.7,6.7,8.5,204.0,,,,,
AUDI,A6 1.8T (150ch) QUATTRO,ES,10,110.0,M 5,12.7,7.5,9.5,228.0,,,,,
AUDI,A6 AVANT 1.8T (150ch),ES,10,110.0,M 5,11.5,6.7,8.5,204.0,,,,,
AUDI,A6 AVANT 1.8T (150ch),ES,10,110.0,M 5,11.6,6.8,8.6,206.0,,,,,
AUDI,A6 AVANT 1.8T (150ch) MULTITRONIC,ES,10,110.0,V 0,11.9,6.9,8.7,209.0,,,,,
AUDI,A6 AVANT 1.8T (150ch) QUATTRO,ES,10,110.0,M 5,12.7,7.5,9.5,228.0,,,,,
AUDI,A6 2.4L (170ch),ES,11,125.0,M 5,14.0,7.5,9.9,238.0,,,,,
AUDI,A6 2.4L (170ch),ES,11,125.0,M 5,14.0,7.5,9.9,238.0,,,,,
